plotID,timestamp,datetime,P_RT_NRT,P_RT_NRT_01,P_RT_NRT_02,rH_200,Ta_200,Ta_200_max,Ta_200_min
AEG05,57857760,2010-01-01T00:00,NA,NA,NA,85.00,6.24,31.55,-17.01
AEG05,58383360,2011-01-01T00:00,NA,NA,NA,83.29,7.90,31.39,-16.57
AEG05,58908960,2012-01-01T00:00,NA,NA,NA,83.57,7.37,32.10,-21.25
AEG05,59436000,2013-01-01T00:00,NA,NA,NA,87.33,6.84,33.00,-13.92
AEG05,59961600,2014-01-01T00:00,NA,NA,NA,87.49,8.48,32.03,-19.59
AEG05,60487200,2015-01-01T00:00,NA,NA,NA,90.06,8.13,33.73,-16.01
AEG06,57332160,2009-01-01T00:00,NA,NA,NA,NA,NA,NA,NA
AEG06,57857760,2010-01-01T00:00,NA,NA,NA,86.67,6.39,31.75,-17.17
AEG06,58383360,2011-01-01T00:00,NA,NA,NA,84.87,8.05,31.69,-16.64
AEG06,58908960,2012-01-01T00:00,NA,NA,NA,83.90,7.52,32.23,-21.51
AEG06,59436000,2013-01-01T00:00,NA,NA,NA,87.34,6.96,32.38,-14.01
AEG06,59961600,2014-01-01T00:00,NA,NA,NA,86.31,8.61,31.82,-19.78
AEG06,60487200,2015-01-01T00:00,NA,NA,NA,86.22,8.29,33.11,-16.12
AEG07,57332160,2009-01-01T00:00,NA,NA,NA,NA,NA,NA,NA
AEG07,57857760,2010-01-01T00:00,NA,NA,NA,82.99,6.54,32.54,-14.09
AEG07,58383360,2011-01-01T00:00,NA,NA,NA,NA,8.53,31.80,-11.92
AEG07,58908960,2012-01-01T00:00,NA,NA,NA,NA,7.93,31.89,-19.55
AEG07,59436000,2013-01-01T00:00,NA,NA,NA,NA,7.14,32.60,-10.61
AEG07,59961600,2014-01-01T00:00,NA,NA,NA,80.26,8.76,32.49,-14.87
AEG07,60487200,2015-01-01T00:00,NA,NA,NA,72.75,8.67,33.40,-10.40
AEG08,57332160,2009-01-01T00:00,NA,NA,NA,84.53,7.46,30.14,-21.07
AEG08,57857760,2010-01-01T00:00,NA,NA,NA,83.77,6.34,30.41,-16.87
AEG08,58383360,2011-01-01T00:00,NA,NA,NA,80.09,8.18,30.29,-13.64
AEG08,58908960,2012-01-01T00:00,NA,NA,NA,80.77,7.55,30.35,-18.04
AEG08,59436000,2013-01-01T00:00,NA,NA,NA,84.89,6.92,31.97,-12.94
AEG08,59961600,2014-01-01T00:00,NA,NA,NA,83.49,8.64,31.05,-16.60
AEG08,60487200,2015-01-01T00:00,NA,NA,NA,80.14,8.41,33.11,-11.27
AEG09,57332160,2009-01-01T00:00,NA,NA,NA,NA,7.58,31.71,-21.48
AEG09,57857760,2010-01-01T00:00,NA,NA,NA,83.15,6.60,32.60,-15.92
AEG09,58383360,2011-01-01T00:00,NA,NA,NA,85.77,8.38,32.03,-14.52
AEG09,58908960,2012-01-01T00:00,NA,NA,NA,89.51,7.84,31.75,-19.63
AEG09,59436000,2013-01-01T00:00,NA,NA,NA,95.82,7.29,32.92,-11.84
AEG09,59961600,2014-01-01T00:00,NA,NA,NA,90.87,8.93,32.15,-17.73
AEG09,60487200,2015-01-01T00:00,NA,NA,NA,93.82,8.70,33.57,-12.78
AEG10,57332160,2009-01-01T00:00,NA,NA,NA,NA,NA,NA,NA
AEG10,57857760,2010-01-01T00:00,NA,NA,NA,NA,NA,NA,NA
AEG10,58383360,2011-01-01T00:00,NA,NA,NA,NA,NA,NA,NA
AEG10,58908960,2012-01-01T00:00,916.22,NA,NA,NA,NA,NA,NA
AEG10,59436000,2013-01-01T00:00,1034.01,NA,NA,87.05,NA,NA,NA
AEG10,59961600,2014-01-01T00:00,925.66,NA,NA,86.22,8.47,32.38,-24.30
AEG10,60487200,2015-01-01T00:00,805.49,NA,NA,84.33,8.01,33.94,-18.69
AEG11,57332160,2009-01-01T00:00,NA,NA,NA,NA,NA,NA,NA
AEG11,57857760,2010-01-01T00:00,NA,NA,NA,86.08,6.64,31.65,-14.88
AEG11,58383360,2011-01-01T00:00,NA,NA,NA,81.50,8.58,31.02,-12.30
AEG11,58908960,2012-01-01T00:00,1115.92,NA,NA,82.09,7.90,31.43,-17.93
AEG11,59436000,2013-01-01T00:00,1281.32,NA,NA,85.44,7.26,31.85,-10.81
AEG11,59961600,2014-01-01T00:00,1047.36,NA,NA,82.90,9.08,32.32,-14.07
AEG11,60487200,2015-01-01T00:00,863.12,NA,NA,80.27,9.06,33.77,-8.98
AEG12,57332160,2009-01-01T00:00,NA,NA,NA,NA,NA,NA,NA
AEG12,57857760,2010-01-01T00:00,NA,NA,NA,86.36,6.17,31.42,-17.65
AEG12,58383360,2011-01-01T00:00,NA,NA,NA,86.56,7.77,31.15,-16.59
AEG12,58908960,2012-01-01T00:00,NA,NA,NA,91.68,7.27,32.16,-22.22
AEG12,59436000,2013-01-01T00:00,NA,NA,NA,91.17,6.99,33.02,-13.92
AEG12,59961600,2014-01-01T00:00,NA,NA,NA,85.74,8.71,32.51,-19.33
AEG12,60487200,2015-01-01T00:00,NA,NA,NA,85.67,8.28,33.90,-16.46
AEG13,57332160,2009-01-01T00:00,NA,NA,NA,NA,NA,NA,NA
AEG13,57857760,2010-01-01T00:00,NA,NA,NA,83.61,6.45,31.55,-15.87
AEG13,58383360,2011-01-01T00:00,NA,NA,NA,81.62,8.19,31.02,-15.33
AEG13,58908960,2012-01-01T00:00,NA,NA,NA,82.17,7.63,32.43,-20.41
AEG13,59436000,2013-01-01T00:00,NA,NA,NA,84.94,7.03,32.61,-12.65
AEG13,59961600,2014-01-01T00:00,NA,NA,NA,84.01,8.70,32.04,-18.34
AEG13,60487200,2015-01-01T00:00,NA,NA,NA,81.64,8.41,33.37,-13.95
AEG14,57332160,2009-01-01T00:00,NA,NA,NA,86.84,7.21,31.43,-23.46
AEG14,57857760,2010-01-01T00:00,NA,NA,NA,88.18,6.27,31.40,-16.04
AEG14,58383360,2011-01-01T00:00,NA,NA,NA,85.22,7.89,31.76,-15.10
AEG14,58908960,2012-01-01T00:00,NA,NA,NA,83.78,7.35,31.22,-20.13
AEG14,59436000,2013-01-01T00:00,NA,NA,NA,86.82,6.80,32.25,-14.67
AEG14,59961600,2014-01-01T00:00,NA,NA,NA,85.13,8.45,31.72,-18.65
AEG14,60487200,2015-01-01T00:00,NA,NA,NA,82.72,8.08,33.35,-16.12
AEG15,57332160,2009-01-01T00:00,NA,NA,NA,NA,NA,NA,NA
AEG15,57857760,2010-01-01T00:00,NA,NA,NA,85.10,6.79,31.63,-13.56
AEG15,58383360,2011-01-01T00:00,NA,NA,NA,84.66,8.77,31.25,-11.62
AEG15,58908960,2012-01-01T00:00,NA,NA,NA,83.94,8.07,31.41,-17.63
AEG15,59436000,2013-01-01T00:00,NA,NA,NA,86.98,7.34,32.76,-10.34
AEG15,59961600,2014-01-01T00:00,NA,NA,NA,84.45,9.08,30.69,-13.58
AEG15,60487200,2015-01-01T00:00,NA,NA,NA,80.26,8.97,33.00,-10.74
AEG16,57332160,2009-01-01T00:00,NA,NA,NA,84.62,7.43,31.37,-22.85
AEG16,57857760,2010-01-01T00:00,NA,NA,NA,86.00,6.44,31.26,-16.95
AEG16,58383360,2011-01-01T00:00,NA,NA,NA,83.44,8.15,31.54,-16.14
AEG16,58908960,2012-01-01T00:00,NA,NA,NA,83.69,7.57,31.19,-20.19
AEG16,59436000,2013-01-01T00:00,NA,NA,NA,87.54,7.03,32.47,-13.91
AEG16,59961600,2014-01-01T00:00,NA,NA,NA,89.71,8.72,32.15,-19.71
AEG16,60487200,2015-01-01T00:00,NA,NA,NA,85.68,8.36,33.08,-15.84
AEG17,57332160,2009-01-01T00:00,NA,NA,NA,81.52,7.34,30.53,-20.57
AEG17,57857760,2010-01-01T00:00,NA,NA,NA,83.57,6.13,29.82,-15.21
AEG17,58383360,2011-01-01T00:00,NA,NA,NA,78.96,8.06,30.68,-14.19
AEG17,58908960,2012-01-01T00:00,NA,NA,NA,79.94,7.40,30.19,-19.05
AEG17,59436000,2013-01-01T00:00,NA,NA,NA,83.38,6.69,31.21,-11.32
AEG17,59961600,2014-01-01T00:00,NA,NA,NA,81.65,8.43,31.17,-14.63
AEG17,60487200,2015-01-01T00:00,NA,NA,NA,78.08,8.28,32.43,-10.37
AEG18,57332160,2009-01-01T00:00,NA,NA,NA,84.50,7.51,30.18,-20.72
AEG18,57857760,2010-01-01T00:00,NA,NA,NA,86.49,6.40,30.17,-15.05
AEG18,58383360,2011-01-01T00:00,NA,NA,NA,82.36,8.16,30.53,-12.67
AEG18,58908960,2012-01-01T00:00,NA,NA,NA,81.63,7.58,30.83,-18.99
AEG18,59436000,2013-01-01T00:00,NA,NA,NA,84.52,6.92,31.90,-11.69
AEG18,59961600,2014-01-01T00:00,NA,NA,NA,83.09,8.66,31.57,-15.91
AEG18,60487200,2015-01-01T00:00,NA,NA,NA,79.38,8.45,32.57,-10.04
AEG19,57332160,2009-01-01T00:00,NA,NA,NA,NA,7.17,31.35,-23.85
AEG19,57857760,2010-01-01T00:00,NA,NA,NA,NA,6.22,32.10,-17.16
AEG19,58383360,2011-01-01T00:00,NA,NA,NA,NA,7.88,31.58,-16.56
AEG19,58908960,2012-01-01T00:00,NA,NA,NA,NA,7.45,30.61,-21.19
AEG19,59436000,2013-01-01T00:00,NA,NA,NA,NA,6.97,33.58,-13.45
AEG19,59961600,2014-01-01T00:00,NA,NA,NA,NA,8.72,31.52,-19.01
AEG19,60487200,2015-01-01T00:00,NA,NA,NA,NA,8.45,34.13,-15.19
AEG20,57332160,2009-01-01T00:00,NA,NA,NA,NA,NA,NA,NA
AEG20,57857760,2010-01-01T00:00,NA,NA,NA,84.47,7.87,33.26,-13.26
AEG20,58383360,2011-01-01T00:00,NA,NA,NA,85.35,9.63,31.36,-11.32
AEG20,58908960,2012-01-01T00:00,NA,NA,NA,86.33,8.98,31.26,-17.16
AEG20,59436000,2013-01-01T00:00,NA,NA,NA,83.52,8.48,32.13,-9.34
AEG20,59961600,2014-01-01T00:00,NA,NA,NA,83.65,10.14,32.49,-13.99
AEG20,60487200,2015-01-01T00:00,NA,NA,NA,81.71,9.90,35.18,-8.94
AEG21,57332160,2009-01-01T00:00,NA,NA,NA,NA,NA,NA,NA
AEG21,57857760,2010-01-01T00:00,NA,NA,NA,82.61,6.58,32.27,-16.76
AEG21,58383360,2011-01-01T00:00,NA,NA,NA,80.48,8.41,30.98,-15.22
AEG21,58908960,2012-01-01T00:00,1112.99,NA,NA,81.25,7.92,32.77,-19.69
AEG21,59436000,2013-01-01T00:00,1415.18,NA,NA,85.86,7.33,33.30,-13.06
AEG21,59961600,2014-01-01T00:00,967.09,NA,NA,84.60,8.97,32.65,-17.40
AEG21,60487200,2015-01-01T00:00,876.79,NA,NA,81.44,8.68,32.77,-12.07
AEG22,57332160,2009-01-01T00:00,NA,NA,NA,81.86,6.79,30.86,-21.10
AEG22,57857760,2010-01-01T00:00,NA,NA,NA,82.35,4.61,27.77,-15.80
AEG22,58383360,2011-01-01T00:00,NA,NA,NA,79.83,7.47,30.09,-14.28
AEG22,58908960,2012-01-01T00:00,NA,NA,NA,80.69,7.01,30.24,-19.06
AEG22,59436000,2013-01-01T00:00,NA,NA,NA,84.92,6.73,31.70,-12.19
AEG22,59961600,2014-01-01T00:00,NA,NA,NA,83.94,8.72,31.82,-15.33
AEG22,60487200,2015-01-01T00:00,NA,NA,NA,86.60,8.55,32.87,-10.08
AEG23,57332160,2009-01-01T00:00,NA,NA,NA,NA,7.01,31.49,-26.02
AEG23,57857760,2010-01-01T00:00,NA,NA,NA,90.34,6.00,31.25,-18.95
AEG23,58383360,2011-01-01T00:00,NA,NA,NA,92.10,7.59,31.52,-19.33
AEG23,58908960,2012-01-01T00:00,NA,NA,NA,93.17,7.02,31.80,-22.69
AEG23,59436000,2013-01-01T00:00,NA,NA,NA,87.20,6.76,32.53,-12.99
AEG23,59961600,2014-01-01T00:00,NA,NA,NA,85.07,8.65,31.67,-24.56
AEG23,60487200,2015-01-01T00:00,NA,NA,NA,83.17,8.14,33.29,-19.57
AEG24,57332160,2009-01-01T00:00,NA,NA,NA,84.37,7.24,30.82,-20.96
AEG24,57857760,2010-01-01T00:00,NA,NA,NA,85.37,6.24,31.04,-16.17
AEG24,58383360,2011-01-01T00:00,NA,NA,NA,80.98,8.03,31.27,-13.76
AEG24,58908960,2012-01-01T00:00,NA,NA,NA,80.92,7.44,30.80,-18.37
AEG24,59436000,2013-01-01T00:00,NA,NA,NA,84.15,6.84,32.36,-11.80
AEG24,59961600,2014-01-01T00:00,NA,NA,NA,82.96,8.54,31.33,-17.58
AEG24,60487200,2015-01-01T00:00,NA,NA,NA,79.83,8.32,32.87,-11.16
AEG25,57332160,2009-01-01T00:00,NA,NA,NA,NA,NA,NA,NA
AEG25,57857760,2010-01-01T00:00,NA,NA,NA,83.53,6.49,33.90,-14.73
AEG25,58383360,2011-01-01T00:00,NA,NA,NA,79.66,8.45,31.31,-12.42
AEG25,58908960,2012-01-01T00:00,NA,NA,NA,80.69,7.72,31.87,-18.90
AEG25,59436000,2013-01-01T00:00,NA,NA,NA,83.94,7.07,33.72,-11.04
AEG25,59961600,2014-01-01T00:00,NA,NA,NA,82.30,8.79,32.51,-14.95
AEG25,60487200,2015-01-01T00:00,NA,NA,NA,78.78,8.63,33.77,-9.71
AEG26,57332160,2009-01-01T00:00,NA,NA,NA,NA,NA,NA,NA
AEG26,57857760,2010-01-01T00:00,NA,NA,NA,NA,6.16,31.68,-15.85
AEG26,58383360,2011-01-01T00:00,NA,NA,NA,NA,8.20,30.93,-15.44
AEG26,58908960,2012-01-01T00:00,978.83,NA,NA,NA,7.93,33.01,-20.26
AEG26,59436000,2013-01-01T00:00,1094.50,NA,NA,86.55,7.37,33.07,-13.11
AEG26,59961600,2014-01-01T00:00,876.39,NA,NA,85.00,8.99,31.77,-19.36
AEG26,60487200,2015-01-01T00:00,759.84,NA,NA,82.62,8.62,34.07,-16.75
AEG27,57332160,2009-01-01T00:00,NA,NA,NA,84.00,7.68,31.23,-21.63
AEG27,57857760,2010-01-01T00:00,NA,NA,NA,85.07,6.65,31.31,-15.44
AEG27,58383360,2011-01-01T00:00,NA,NA,NA,80.95,8.31,31.05,-14.28
AEG27,58908960,2012-01-01T00:00,NA,NA,NA,80.98,7.77,31.12,-18.01
AEG27,59436000,2013-01-01T00:00,NA,NA,NA,84.71,7.08,32.51,-11.47
AEG27,59961600,2014-01-01T00:00,NA,NA,NA,84.19,8.81,30.68,-16.21
AEG27,60487200,2015-01-01T00:00,NA,NA,NA,85.98,8.59,33.03,-10.45
AEG28,57332160,2009-01-01T00:00,NA,NA,NA,NA,7.85,30.71,-19.39
AEG28,57857760,2010-01-01T00:00,NA,NA,NA,NA,6.89,30.43,-14.15
AEG28,58383360,2011-01-01T00:00,NA,NA,NA,NA,8.71,30.71,-12.67
AEG28,58908960,2012-01-01T00:00,NA,NA,NA,NA,8.12,30.70,-17.16
AEG28,59436000,2013-01-01T00:00,1101.17,NA,NA,NA,7.54,31.76,-11.27
AEG28,59961600,2014-01-01T00:00,937.34,NA,NA,NA,9.14,31.06,-13.71
AEG28,60487200,2015-01-01T00:00,771.52,NA,NA,78.81,9.00,32.95,-9.25
AEG29,57332160,2009-01-01T00:00,NA,NA,NA,NA,NA,NA,NA
AEG29,57857760,2010-01-01T00:00,NA,NA,NA,83.92,5.84,31.12,-16.50
AEG29,58383360,2011-01-01T00:00,NA,NA,NA,89.26,7.57,30.12,-15.70
AEG29,58908960,2012-01-01T00:00,NA,NA,NA,87.85,7.11,30.27,-20.70
AEG29,59436000,2013-01-01T00:00,NA,NA,NA,89.27,6.57,31.52,-13.42
AEG29,59961600,2014-01-01T00:00,NA,NA,NA,88.31,8.27,31.29,-22.34
AEG29,60487200,2015-01-01T00:00,NA,NA,NA,86.37,7.77,33.25,-20.76
AEG30,57332160,2009-01-01T00:00,NA,NA,NA,NA,NA,NA,NA
AEG30,57857760,2010-01-01T00:00,NA,NA,NA,88.36,6.38,32.02,-15.71
AEG30,58383360,2011-01-01T00:00,NA,NA,NA,90.61,8.19,31.79,-15.10
AEG30,58908960,2012-01-01T00:00,NA,NA,NA,92.33,7.56,31.89,-20.43
AEG30,59436000,2013-01-01T00:00,NA,NA,NA,96.78,6.94,32.44,-15.74
AEG30,59961600,2014-01-01T00:00,NA,NA,NA,92.55,8.64,32.10,-19.30
AEG30,60487200,2015-01-01T00:00,NA,NA,NA,94.09,8.36,33.48,-14.68
AEG31,57332160,2009-01-01T00:00,NA,NA,NA,NA,NA,NA,NA
AEG31,57857760,2010-01-01T00:00,NA,NA,NA,82.94,6.91,31.76,-14.62
AEG31,58383360,2011-01-01T00:00,NA,NA,NA,81.63,8.77,31.43,-12.42
AEG31,58908960,2012-01-01T00:00,NA,NA,NA,83.87,8.11,31.37,-17.89
AEG31,59436000,2013-01-01T00:00,NA,NA,NA,92.53,7.43,32.20,-11.95
AEG31,59961600,2014-01-01T00:00,NA,NA,NA,95.03,9.16,31.94,-15.78
AEG31,60487200,2015-01-01T00:00,NA,NA,NA,87.70,8.98,33.47,-10.59
AEG32,57332160,2009-01-01T00:00,NA,NA,NA,NA,NA,NA,NA
AEG32,57857760,2010-01-01T00:00,NA,NA,NA,84.94,6.32,31.91,-17.08
AEG32,58383360,2011-01-01T00:00,NA,NA,NA,83.95,8.09,31.88,-16.37
AEG32,58908960,2012-01-01T00:00,NA,NA,NA,84.59,7.44,31.67,-21.09
AEG32,59436000,2013-01-01T00:00,NA,NA,NA,87.45,6.87,32.75,-12.70
AEG32,59961600,2014-01-01T00:00,NA,NA,NA,87.71,8.60,31.13,-16.35
AEG32,60487200,2015-01-01T00:00,NA,NA,NA,83.92,8.26,33.73,-11.15
AEG33,57332160,2009-01-01T00:00,NA,NA,NA,NA,7.81,30.98,-19.96
AEG33,57857760,2010-01-01T00:00,NA,NA,NA,NA,6.78,30.72,-14.61
AEG33,58383360,2011-01-01T00:00,NA,NA,NA,NA,8.64,31.00,-13.12
AEG33,58908960,2012-01-01T00:00,NA,NA,NA,NA,8.04,31.00,-17.69
AEG33,59436000,2013-01-01T00:00,NA,NA,NA,88.28,7.49,32.21,-11.56
AEG33,59961600,2014-01-01T00:00,NA,NA,NA,NA,9.05,31.34,-15.92
AEG33,60487200,2015-01-01T00:00,NA,NA,NA,79.70,8.91,33.50,-10.60
AEG34,57332160,2009-01-01T00:00,NA,NA,NA,84.46,7.38,31.33,-19.81
AEG34,57857760,2010-01-01T00:00,NA,NA,NA,88.76,6.17,31.58,-15.42
AEG34,58383360,2011-01-01T00:00,NA,NA,NA,87.56,8.11,31.43,-13.10
AEG34,58908960,2012-01-01T00:00,NA,NA,NA,92.03,7.41,31.08,-19.28
AEG34,59436000,2013-01-01T00:00,NA,NA,NA,87.14,6.78,32.37,-11.34
AEG34,59961600,2014-01-01T00:00,NA,NA,NA,85.40,8.48,31.98,-16.09
AEG34,60487200,2015-01-01T00:00,NA,NA,NA,81.62,8.29,32.98,-11.20
AEG35,57332160,2009-01-01T00:00,NA,NA,NA,NA,NA,NA,NA
AEG35,57857760,2010-01-01T00:00,NA,NA,NA,83.23,6.35,29.82,-15.21
AEG35,58383360,2011-01-01T00:00,NA,NA,NA,79.45,8.58,30.79,-12.07
AEG35,58908960,2012-01-01T00:00,986.60,NA,NA,79.58,8.34,32.42,-18.01
AEG35,59436000,2013-01-01T00:00,1150.68,NA,NA,83.04,7.72,33.06,-10.64
AEG35,59961600,2014-01-01T00:00,989.95,NA,NA,81.05,9.62,32.15,-12.50
AEG35,60487200,2015-01-01T00:00,771.48,NA,NA,77.46,9.58,33.97,-8.68
AEG36,57332160,2009-01-01T00:00,NA,NA,NA,NA,NA,NA,NA
AEG36,57857760,2010-01-01T00:00,NA,NA,NA,85.00,6.83,31.60,-14.16
AEG36,58383360,2011-01-01T00:00,NA,NA,NA,84.46,8.76,30.93,-12.99
AEG36,58908960,2012-01-01T00:00,NA,NA,NA,87.10,8.08,31.22,-18.08
AEG36,59436000,2013-01-01T00:00,NA,NA,NA,93.72,7.41,32.76,-11.18
AEG36,59961600,2014-01-01T00:00,NA,NA,NA,94.00,9.15,32.04,-13.30
AEG36,60487200,2015-01-01T00:00,NA,NA,NA,84.43,9.07,34.08,-9.20
AEG37,57332160,2009-01-01T00:00,NA,NA,NA,NA,NA,NA,NA
AEG37,57857760,2010-01-01T00:00,NA,NA,NA,85.59,6.59,31.34,-16.36
AEG37,58383360,2011-01-01T00:00,NA,NA,NA,77.92,8.38,32.12,-16.01
AEG37,58908960,2012-01-01T00:00,NA,NA,NA,NA,8.46,28.57,-20.56
AEG37,59436000,2013-01-01T00:00,NA,NA,NA,NA,7.58,32.49,-13.54
AEG37,59961600,2014-01-01T00:00,NA,NA,NA,84.48,9.14,32.46,-17.97
AEG37,60487200,2015-01-01T00:00,NA,NA,NA,81.80,8.78,34.34,-14.48
AEG38,57332160,2009-01-01T00:00,NA,NA,NA,NA,NA,NA,NA
AEG38,57857760,2010-01-01T00:00,NA,NA,NA,NA,6.82,31.00,-14.38
AEG38,58383360,2011-01-01T00:00,NA,NA,NA,NA,8.72,30.80,-13.44
AEG38,58908960,2012-01-01T00:00,NA,NA,NA,NA,8.25,30.34,-17.41
AEG38,59436000,2013-01-01T00:00,NA,NA,NA,88.82,7.77,32.52,-11.39
AEG38,59961600,2014-01-01T00:00,NA,NA,NA,82.14,9.21,32.12,-14.33
AEG38,60487200,2015-01-01T00:00,NA,NA,NA,78.89,9.13,33.04,-10.16
AEG39,57332160,2009-01-01T00:00,NA,NA,NA,NA,NA,NA,NA
AEG39,57857760,2010-01-01T00:00,NA,NA,NA,NA,6.61,37.59,-17.01
AEG39,58383360,2011-01-01T00:00,NA,NA,NA,NA,8.30,32.26,-16.59
AEG39,58908960,2012-01-01T00:00,NA,NA,NA,NA,7.85,31.95,-21.18
AEG39,59436000,2013-01-01T00:00,NA,NA,NA,NA,7.35,33.95,-14.22
AEG39,59961600,2014-01-01T00:00,NA,NA,NA,85.30,8.95,33.64,-20.39
AEG39,60487200,2015-01-01T00:00,NA,NA,NA,83.38,8.55,34.24,-16.86
AEG40,57332160,2009-01-01T00:00,NA,NA,NA,NA,7.28,31.55,-22.44
AEG40,57857760,2010-01-01T00:00,NA,NA,NA,NA,5.97,21.25,-14.63
AEG40,58383360,2011-01-01T00:00,NA,NA,NA,NA,7.75,21.30,-14.03
AEG40,58908960,2012-01-01T00:00,NA,NA,NA,NA,7.17,21.32,-19.86
AEG40,59436000,2013-01-01T00:00,NA,NA,NA,NA,6.78,30.91,-11.63
AEG40,59961600,2014-01-01T00:00,NA,NA,NA,NA,8.46,30.31,-15.64
AEG40,60487200,2015-01-01T00:00,NA,NA,NA,NA,8.33,31.67,-10.38
AEG41,57332160,2009-01-01T00:00,NA,NA,NA,NA,NA,NA,NA
AEG41,57857760,2010-01-01T00:00,NA,NA,NA,85.34,5.88,31.92,-18.35
AEG41,58383360,2011-01-01T00:00,NA,NA,NA,85.42,7.39,31.38,-18.18
AEG41,58908960,2012-01-01T00:00,NA,NA,NA,86.07,6.91,32.78,-23.75
AEG41,59436000,2013-01-01T00:00,NA,NA,NA,88.30,6.47,33.53,-15.94
AEG41,59961600,2014-01-01T00:00,NA,NA,NA,86.82,7.99,32.51,-20.73
AEG41,60487200,2015-01-01T00:00,NA,NA,NA,84.31,7.52,33.77,-19.21
AEG42,57332160,2009-01-01T00:00,NA,NA,NA,NA,NA,NA,NA
AEG42,57857760,2010-01-01T00:00,NA,NA,NA,85.40,6.22,31.38,-16.30
AEG42,58383360,2011-01-01T00:00,NA,NA,NA,84.09,7.92,30.67,-15.95
AEG42,58908960,2012-01-01T00:00,NA,NA,NA,85.06,7.45,31.92,-20.80
AEG42,59436000,2013-01-01T00:00,NA,NA,NA,87.74,6.95,32.98,-13.74
AEG42,59961600,2014-01-01T00:00,NA,NA,NA,85.24,8.60,32.12,-19.45
AEG42,60487200,2015-01-01T00:00,NA,NA,NA,83.40,8.13,34.41,-16.86
AEG43,57332160,2009-01-01T00:00,NA,NA,NA,NA,6.79,31.58,-26.51
AEG43,57857760,2010-01-01T00:00,NA,NA,NA,86.65,5.69,30.57,-19.63
AEG43,58383360,2011-01-01T00:00,NA,NA,NA,85.87,7.26,31.30,-19.46
AEG43,58908960,2012-01-01T00:00,NA,NA,NA,85.61,6.75,31.75,-22.77
AEG43,59436000,2013-01-01T00:00,NA,NA,NA,87.38,6.36,32.32,-19.91
AEG43,59961600,2014-01-01T00:00,NA,NA,NA,NA,8.10,32.52,-17.00
AEG43,60487200,2015-01-01T00:00,NA,NA,NA,NA,8.29,31.68,-12.02
AEG44,57332160,2009-01-01T00:00,NA,NA,NA,NA,NA,NA,NA
AEG44,57857760,2010-01-01T00:00,NA,NA,NA,88.24,6.34,32.89,-17.40
AEG44,58383360,2011-01-01T00:00,NA,NA,NA,88.06,7.89,32.14,-17.81
