plotID,timestamp,datetime,P_RT_NRT,P_RT_NRT_01,P_RT_NRT_02,rH_200,Ta_200,Ta_200_max,Ta_200_min
AEG01,57332160,2009-01-01T00:00,NA,NA,NA,NA,NA,NA,NA
AEG01,57857760,2010-01-01T00:00,NA,NA,NA,87.17,6.00,31.51,-18.42
AEG01,58383360,2011-01-01T00:00,NA,NA,NA,86.30,7.61,31.01,-18.88
AEG01,58908960,2012-01-01T00:00,975.98,NA,NA,85.12,7.24,32.52,-23.25
AEG01,59436000,2013-01-01T00:00,1091.50,NA,NA,87.92,6.74,31.77,-13.85
AEG01,59961600,2014-01-01T00:00,870.33,NA,NA,86.88,8.34,31.54,-17.92
AEG01,60487200,2015-01-01T00:00,775.31,NA,NA,84.66,7.95,33.84,-14.12
AEG02,57332160,2009-01-01T00:00,NA,NA,NA,82.50,7.51,31.54,-22.00
AEG02,57857760,2010-01-01T00:00,NA,NA,NA,85.58,6.43,31.86,-15.47
AEG02,58383360,2011-01-01T00:00,NA,NA,NA,82.68,8.24,31.46,-13.42
AEG02,58908960,2012-01-01T00:00,NA,NA,NA,81.38,7.88,31.62,-18.76
AEG02,59436000,2013-01-01T00:00,NA,NA,NA,85.80,7.24,32.36,-11.03
AEG02,59961600,2014-01-01T00:00,889.37,NA,NA,83.95,9.01,32.50,-16.13
AEG02,60487200,2015-01-01T00:00,NA,NA,NA,80.95,8.80,33.60,-9.85
AEG03,57332160,2009-01-01T00:00,NA,NA,NA,NA,7.26,30.30,-20.74
AEG03,57857760,2010-01-01T00:00,NA,NA,NA,92.57,6.03,30.55,-15.34
AEG03,58383360,2011-01-01T00:00,NA,NA,NA,96.87,7.85,30.63,-13.33
AEG03,58908960,2012-01-01T00:00,NA,NA,NA,NA,7.29,30.98,-20.11
AEG03,59436000,2013-01-01T00:00,NA,NA,NA,91.66,6.81,31.52,-12.10
AEG03,59961600,2014-01-01T00:00,NA,NA,NA,85.69,8.65,31.32,-14.59
AEG03,60487200,2015-01-01T00:00,NA,NA,NA,81.38,8.45,32.58,-10.81
AEG04,57332160,2009-01-01T00:00,NA,NA,NA,NA,NA,NA,NA
AEG04,57857760,2010-01-01T00:00,NA,NA,NA,88.96,6.19,31.89,-18.47
AEG04,58383360,2011-01-01T00:00,NA,NA,NA,88.61,7.67,31.23,-18.66
AEG04,58908960,2012-01-01T00:00,NA,NA,NA,88.00,7.32,31.52,-22.84
AEG04,59436000,2013-01-01T00:00,NA,NA,NA,90.13,6.95,32.24,-17.11
AEG04,59961600,2014-01-01T00:00,NA,NA,NA,91.63,8.73,32.07,-22.93
AEG04,60487200,2015-01-01T00:00,NA,NA,NA,89.66,8.14,33.86,-20.13
AEG05,57332160,2009-01-01T00:00,NA,NA,NA,NA,NA,NA,NA
