plotID,timestamp,datetime,P_RT_NRT,P_RT_NRT_01,P_RT_NRT_02,rH_200,Ta_200,Ta_200_max,Ta_200_min
AEG01,58995360,2012-03-01T00:00,30.95,NA,NA,81.72,4.73,20.34,-6.32
AEG01,59040000,2012-04-01T00:00,59.01,NA,NA,79.96,6.11,26.79,-6.62
AEG01,59083200,2012-05-01T00:00,68.19,NA,NA,74.73,12.34,28.65,-3.00
AEG01,59127840,2012-06-01T00:00,120.97,NA,NA,79.27,15.34,31.24,4.00
AEG01,59171040,2012-07-01T00:00,126.33,NA,NA,81.23,15.75,31.48,3.39
AEG01,59215680,2012-08-01T00:00,98.40,NA,NA,78.59,17.04,32.52,5.25
AEG01,59260320,2012-09-01T00:00,64.28,NA,NA,85.05,11.78,28.59,-1.87
AEG01,59303520,2012-10-01T00:00,66.48,NA,NA,91.29,7.10,24.78,-5.42
AEG01,59348160,2012-11-01T00:00,89.13,NA,NA,96.07,3.57,15.63,-8.92
AEG01,59391360,2012-12-01T00:00,112.86,NA,NA,95.13,-0.74,14.14,-15.03
AEG01,59436000,2013-01-01T00:00,51.36,NA,NA,96.06,-1.47,10.87,-9.11
AEG01,59480640,2013-02-01T00:00,100.83,NA,NA,93.52,-3.75,5.85,-12.79
AEG01,59520960,2013-03-01T00:00,72.32,NA,NA,86.14,-0.05,16.22,-13.85
AEG01,59565600,2013-04-01T00:00,69.51,NA,NA,83.28,6.87,23.03,-5.33
AEG01,59608800,2013-05-01T00:00,159.30,NA,NA,88.16,8.89,21.89,-1.32
AEG01,59653440,2013-06-01T00:00,104.45,NA,NA,82.04,13.74,30.85,3.64
AEG01,59696640,2013-07-01T00:00,69.89,NA,NA,75.55,17.97,31.77,6.35
AEG01,59741280,2013-08-01T00:00,123.37,NA,NA,83.69,15.59,31.05,5.71
AEG01,59785920,2013-09-01T00:00,120.48,NA,NA,89.64,11.70,25.90,3.84
AEG01,59829120,2013-10-01T00:00,81.11,NA,NA,90.86,8.79,19.93,-1.01
AEG01,59873760,2013-11-01T00:00,84.25,NA,NA,94.36,1.91,13.12,-10.32
AEG01,59916960,2013-12-01T00:00,54.63,NA,NA,91.80,0.69,10.34,-6.55
AEG01,59961600,2014-01-01T00:00,53.77,NA,NA,95.15,1.02,11.23,-5.32
AEG01,60006240,2014-02-01T00:00,39.89,NA,NA,87.32,1.96,10.77,-4.45
AEG01,60046560,2014-03-01T00:00,29.48,NA,NA,76.20,5.35,18.39,-4.18
AEG01,60091200,2014-04-01T00:00,64.21,NA,NA,77.93,8.69,19.85,-3.03
AEG01,60134400,2014-05-01T00:00,76.31,NA,NA,81.15,10.23,25.02,-0.05
AEG01,60179040,2014-06-01T00:00,56.63,NA,NA,74.77,14.92,31.54,3.08
AEG01,60222240,2014-07-01T00:00,157.00,NA,NA,85.44,16.21,30.24,5.51
AEG01,60266880,2014-08-01T00:00,102.99,NA,NA,87.58,13.64,24.91,3.81
AEG01,60311520,2014-09-01T00:00,72.06,NA,NA,92.68,12.54,23.36,1.80
AEG01,60354720,2014-10-01T00:00,78.72,NA,NA,93.78,10.11,22.46,1.08
AEG01,60399360,2014-11-01T00:00,75.69,NA,NA,96.77,4.60,18.84,-1.66
AEG01,60442560,2014-12-01T00:00,63.56,NA,NA,93.81,0.85,11.88,-17.92
AEG01,60487200,2015-01-01T00:00,88.99,NA,NA,92.94,-0.22,12.06,-7.79
AEG01,60531840,2015-02-01T00:00,49.54,NA,NA,90.78,-2.82,8.62,-14.12
AEG01,60572160,2015-03-01T00:00,57.42,NA,NA,80.29,3.52,16.10,-4.98
AEG01,60616800,2015-04-01T00:00,74.45,NA,NA,73.90,7.07,22.53,-4.63
AEG01,60660000,2015-05-01T00:00,90.27,NA,NA,81.94,11.40,25.81,-1.57
AEG01,60704640,2015-06-01T00:00,94.44,NA,NA,82.75,15.10,29.45,3.73
AEG01,60747840,2015-07-01T00:00,44.43,NA,NA,71.59,18.93,33.84,2.57
